"","time","Method","blood","count","aif","disp_aif","backg","bpr","parentFraction","disp_fct","t_G","vol","delta","tmax"
"167",2.78333333333333,"Continuous",15.8200100000004,450,19.881337622894,21.2850609410469,14.5,0.822953441903129,0.953281734276845,0.934051242698308,2.78333333333333,0.0833333333333333,1,0.833333333333333
"168",2.8,"Continuous",13.8377049999999,468,20.6730876521373,18.988542436554,14.5,0.82292798187425,0.952499603390002,1.08871377153943,2.8,0.0833333333333333,1,0.833333333333333
"169",2.81666666666667,"Continuous",13.2943500000001,476,21.0664247749921,19.8940476642245,14.5,0.822902521680136,0.95171016872758,1.05893104965642,2.81666666666667,0.0833333333333333,1,0.833333333333333
"170",2.83333333333333,"Continuous",14.763895,444,19.6471820120731,20.3681498368925,14.5,0.822877061319258,0.950913439491241,0.964603175517027,2.83333333333333,0.0833333333333333,1,0.833333333333333
"171",2.85,"Continuous",14.3315599999996,450,19.8634708063482,19.6765569972712,14.5,0.822851600790084,0.950109425758176,1.00949931479897,2.85,0.0833333333333333,1,0.833333333333333
"172",2.86666666666667,"Continuous",13.695635,456,20.1678462273088,19.4152785762731,14.5,0.822826140091085,0.949298138478986,1.03876162003441,2.86666666666667,0.0833333333333333,1,0.833333333333333
"173",2.88333333333333,"Continuous",13.4848649999999,448,19.8093782294363,19.0161019945246,14.5,0.822800679220732,0.948479589475347,1.04171602756128,2.88333333333333,0.0833333333333333,1,0.833333333333333
"174",2.9,"Continuous",13.3703049999999,442,19.539240760449,18.9228880930937,14.5,0.822775218177493,0.947653791437442,1.03257180744943,2.9,0.0833333333333333,1,0.833333333333333
"175",2.91666666666667,"Continuous",11.6882850000002,434,19.1807928161535,16.37802337445,14.5,0.82274975695984,0.946820757921179,1.17112989630213,2.91666666666667,0.0833333333333333,1,0.833333333333333
"176",2.93333333333333,"Continuous",13.8342849999999,430,18.9989081312292,21.0648214607286,14.5,0.822724295566243,0.945980503345185,0.901925903651694,2.93333333333333,0.0833333333333333,1,0.833333333333333
"177",2.95,"Continuous",16.1601449999998,392,17.2727828649638,19.6942592816955,14.5,0.822698833995171,0.945133042987576,0.877046585906262,2.95,0.0833333333333333,1,0.833333333333333
"178",2.96666666666667,"Continuous",14.4589700000001,446,19.6494165977429,19.8589669731218,14.5,0.822673372245094,0.944278392982517,0.989448072718863,2.96666666666667,0.0833333333333333,1,0.833333333333333
"179",2.98333333333333,"Continuous",12.9765699999998,450,19.8198058506381,17.9671872079702,14.5,0.822647910314482,0.943416570316552,1.10311122276535,2.98333333333333,0.0833333333333333,1,0.833333333333333
"180",3,"Continuous",12.6907299999998,450,19.8136042879663,18.7009402449404,14.5,0.822622448201806,0.942547592824725,1.05949775938817,3,0.0833333333333333,1,0.833333333333333
"181",3.01666666666667,"Continuous",11.0413000000003,422,18.5734164891288,15.1377896156714,14.5,0.822596985905518,0.94167147918648,1.22695697064654,3.01666666666667,0.0833333333333333,1,0.833333333333333
"182",3.03333333333333,"Continuous",12.2909600000003,424,18.6994434917206,19.3759894770611,14.5,0.822571523423998,0.940788248921352,0.965083280720118,3.03333333333333,0.0833333333333333,1,0.833333333333333
"183",3.05,"Continuous",13.9056499999997,370,16.3151964379542,17.0833266578893,14.5,0.822546060755607,0.939897922384436,0.955036262238751,3.05,0.0833333333333333,1,0.833333333333333
"184",3.06666666666667,"Continuous",12.3431599999999,416,18.2904575186386,17.7446822732226,14.5,0.822520597898709,0.939000520761656,1.03075711568189,3.06666666666667,0.0833333333333333,1,0.833333333333333
"185",3.08333333333333,"Continuous",11.2528400000001,398,17.4918787686456,15.3110950156327,14.5,0.822495134851666,0.938096066064812,1.14243159948954,3.08333333333333,0.0833333333333333,1,0.833333333333333
"186",3.1,"Continuous",12.1703749999997,402,17.6614761454633,18.322035165181,14.5,0.82246967161284,0.937184581126427,0.963947290038334,3.1,0.0833333333333333,1,0.833333333333333
"187",3.11666666666667,"Continuous",13.932965,366,16.0719026870111,17.5271998200962,14.5,0.822444208180593,0.93626608959439,0.916969216530726,3.11666666666667,0.0833333333333333,1,0.833333333333333
"188",3.13333333333333,"Continuous",13.8426800000002,398,17.5163269401406,18.9211705598755,14.5,0.822418744553288,0.935340615926382,0.925752816651098,3.13333333333333,0.0833333333333333,1,0.833333333333333
"189",3.15,"Continuous",13.6437150000002,400,17.5534564675064,17.804021596346,14.5,0.822393280729287,0.934408185384119,0.98592648703083,3.15,0.0833333333333333,1,0.833333333333333
"190",3.16666666666667,"Continuous",11.7586449999999,420,18.4249075580879,16.4827031796054,14.5,0.822367816706952,0.933468824027379,1.11783287955373,3.16666666666667,0.0833333333333333,1,0.833333333333333
"191",3.18333333333333,"Continuous",11.3585049999997,410,17.9784022632114,16.3909084486774,14.5,0.822342352484645,0.932522558707841,1.09685209453184,3.18333333333333,0.0833333333333333,1,0.833333333333333
"192",3.2,"Continuous",11.1838350000003,388,17.0054871202884,15.5720863360382,14.5,0.82231688806073,0.931569417062728,1.09204937304598,3.2,0.0833333333333333,1,0.833333333333333
"193",3.21666666666667,"Continuous",12.3285500000002,380,16.6473719431372,17.5187965625777,14.5,0.822291423433567,0.930609427508251,0.950257735094543,3.21666666666667,0.0833333333333333,1,0.833333333333333
"194",3.23333333333333,"Continuous",14.305895,364,15.9386378692421,18.3170778178868,14.5,0.82226595860152,0.92964261923288,0.870151780087861,3.23333333333333,0.0833333333333333,1,0.833333333333333
"195",3.25,"Continuous",14.2908149999998,386,16.9396927217066,18.4089987104952,14.5,0.82224049356295,0.928669022190405,0.920185447785878,3.25,0.0833333333333333,1,0.833333333333333
"196",3.26666666666667,"Continuous",13.3038049999996,408,17.8959060810069,17.7533924507495,14.5,0.822215028316221,0.927688667092835,1.00802740268671,3.26666666666667,0.0833333333333333,1,0.833333333333333
"197",3.28333333333333,"Continuous",11.9380550000001,416,18.2380583575559,16.5379401734646,14.5,0.822189562859694,0.926701585403105,1.10280108443125,3.28333333333333,0.0833333333333333,1,0.833333333333333
"198",3.3,"Continuous",10.9618100000002,408,17.8794431025417,15.6296449034568,14.5,0.822164097191731,0.925707809327602,1.14394429387115,3.3,0.0833333333333333,1,0.833333333333333
"199",3.31666666666667,"Continuous",11.2337050000006,388,16.996036404667,15.9832957297141,14.5,0.822138631310695,0.924707371808531,1.0633624436461,3.31666666666667,0.0833333333333333,1,0.833333333333333
"200",3.33333333333333,"Continuous",11.6435750000001,370,16.1570530568084,15.8237886957412,14.5,0.822113165214948,0.923700306516089,1.02106097139409,3.33333333333333,0.0833333333333333,1,0.833333333333333
"201",3.35,"Continuous",13.4720549999993,368,16.0617370462371,18.3859805321125,14.5,0.822087698902853,0.922686647840491,0.873586101006909,3.35,0.0833333333333333,1,0.833333333333333
"202",3.36666666666667,"Continuous",13.6584699999999,364,15.8790102574736,16.7491435744652,14.5,0.822062232372771,0.921666430883815,0.948049086025019,3.36666666666667,0.0833333333333333,1,0.833333333333333
"203",3.38333333333333,"Continuous",11.0788850000004,400,17.4864548916366,15.3664056666827,14.5,0.822036765623066,0.9206396914517,1.13796650114155,3.38333333333333,0.0833333333333333,1,0.833333333333333
"204",3.4,"Continuous",12.0550050000002,390,16.9974334021973,17.2876959190944,14.5,0.822011298652099,0.919606466044868,0.983209878386599,3.4,0.0833333333333333,1,0.833333333333333
"205",3.41666666666667,"Continuous",11.8494450000003,366,15.9417614307549,15.1187342652252,14.5,0.821985831458232,0.918566791850514,1.05443757070476,3.41666666666667,0.0833333333333333,1,0.833333333333333
"206",3.43333333333333,"Continuous",10.7603349999999,386,16.8051639762554,15.5304843143762,14.5,0.821960364039829,0.917520706733525,1.08207597625911,3.43333333333333,0.0833333333333333,1,0.833333333333333
"207",3.45,"Continuous",11.9142249999995,358,15.619725455228,15.973710624007,14.5,0.821934896395251,0.916468249227566,0.977839515369271,3.45,0.0833333333333333,1,0.833333333333333
"208",3.46666666666667,"Continuous",13.1352300000003,358,15.6111782763256,17.354131451468,14.5,0.82190942852286,0.915409458526014,0.899565519598797,3.46666666666667,0.0833333333333333,1,0.833333333333333
"209",3.48333333333333,"Continuous",13.5393250000002,364,15.8201157242879,17.0607009533205,14.5,0.821883960421019,0.914344374472759,0.927284041117251,3.48333333333333,0.0833333333333333,1,0.833333333333333
"210",3.5,"Continuous",11.7057899999995,386,16.8116327560874,15.5083685409096,14.5,0.82185849208809,0.913273037552865,1.08403619063733,3.5,0.0833333333333333,1,0.833333333333333
"211",3.51666666666667,"Continuous",11.1130549999998,390,16.9759088721598,15.7690167651289,14.5,0.821833023522435,0.912195488883107,1.07653566008629,3.51666666666667,0.0833333333333333,1,0.833333333333333
"212",3.53333333333333,"Continuous",11.4614200000005,368,15.9667819650722,15.3697944123534,14.5,0.821807554722418,0.911111770202365,1.03884160950383,3.53333333333333,0.0833333333333333,1,0.833333333333333
"213",3.55,"Continuous",10.7145049999999,366,15.8705489464279,14.5861276410401,14.5,0.821782085686399,0.910021923861917,1.08805773108511,3.55,0.0833333333333333,1,0.833333333333333
"214",3.56666666666667,"Continuous",10.7651499999997,358,15.5139218766493,14.8880515694311,14.5,0.821756616412741,0.90892599281559,1.04203842956209,3.56666666666667,0.0833333333333333,1,0.833333333333333
"215",3.58333333333333,"Continuous",12.3797850000001,344,14.8973753753693,16.4314241100648,14.5,0.821731146899807,0.907824020609814,0.906639331781604,3.58333333333333,0.0833333333333333,1,0.833333333333333
"216",3.6,"Continuous",13.3001649999997,344,14.8882521275927,16.5490672989268,14.5,0.821705677145959,0.906716051373555,0.899642974354101,3.6,0.0833333333333333,1,0.833333333333333
"217",3.61666666666667,"Continuous",11.0254400000003,366,15.8752803607414,14.2021819576397,14.5,0.821680207149559,0.905602129808144,1.11780572929512,3.61666666666667,0.0833333333333333,1,0.833333333333333
"218",3.63333333333333,"Continuous",9.47254500000054,378,16.3414782128924,13.7679119590643,14.5,0.82165473690897,0.904482301177003,1.18692494994739,3.63333333333333,0.0833333333333333,1,0.833333333333333
"219",3.65,"Continuous",11.50506,344,14.8601981413843,15.7818069664101,14.5,0.821629266422553,0.903356611295273,0.941603085946535,3.65,0.0833333333333333,1,0.833333333333333
"220",3.66666666666667,"Continuous",12.00317,330,14.2885883753531,14.8564113621658,14.5,0.821603795688672,0.902225106519354,0.961779263311279,3.66666666666667,0.0833333333333333,1,0.833333333333333
"221",3.68333333333333,"Continuous",13.7093849999997,352,15.2297762513539,18.381743004742,14.5,0.821578324705688,0.90108783373634,0.828527319059191,3.68333333333333,0.0833333333333333,1,0.833333333333333
"222",3.7,"Continuous",10.707195,346,14.9606591615024,12.3210109122107,14.5,0.821552853471963,0.899944840353389,1.21423958375653,3.7,0.0833333333333333,1,0.833333333333333
"223",3.71666666666667,"Continuous",8.79080000000022,398,17.1511904762649,14.4855344419228,14.5,0.821527381985861,0.898796174286997,1.18402193201981,3.71666666666667,0.0833333333333333,1,0.833333333333333
"224",3.73333333333333,"Continuous",12.1777799999995,316,13.6469961439178,14.9436761382842,14.5,0.821501910245742,0.897641883952201,0.913228847950975,3.73333333333333,0.0833333333333333,1,0.833333333333333
"225",3.75,"Continuous",11.1403099999998,338,14.5856177050254,14.3539635493917,14.5,0.82147643824997,0.896482018251711,1.01613868913883,3.75,0.0833333333333333,1,0.833333333333333
"226",3.76666666666667,"Continuous",10.1177600000005,344,14.8338803434791,13.558729204561,14.5,0.821450965996907,0.895316626564972,1.09404650831799,3.76666666666667,0.0833333333333333,1,0.833333333333333
"227",3.78333333333333,"Continuous",10.6172799999999,336,14.4792681334558,14.468339149763,14.5,0.821425493484916,0.894145758737167,1.0007553723741,3.78333333333333,0.0833333333333333,1,0.833333333333333
"228",3.8,"Continuous",10.7414799999997,322,13.8670434042165,13.6392210701974,14.5,0.821400020712357,0.892969465068154,1.01670347103009,3.8,0.0833333333333333,1,0.833333333333333
"229",3.81666666666667,"Continuous",11.2320850000001,332,14.2438349237359,15.0862303830655,14.5,0.821374547677594,0.891787796301357,0.944161302198114,3.81666666666667,0.0833333333333333,1,0.833333333333333
"230",3.83333333333333,"Continuous",10.4337500000001,322,13.8041688044628,12.8327137695183,14.5,0.821349074378989,0.8906008036126,1.0757014496226,3.83333333333333,0.0833333333333333,1,0.833333333333333
"231",3.85,"Continuous",10.1290200000003,340,14.609284282707,14.373887331128,14.5,0.821323600814905,0.8894085385989,1.016376707717,3.85,0.0833333333333333,1,0.833333333333333
"232",3.86666666666667,"Continuous",12.9255899999998,312,13.3551595944329,15.9585205974119,14.5,0.821298126983703,0.88821105326722,0.836867021157266,3.86666666666667,0.0833333333333333,1,0.833333333333333
"233",3.88333333333333,"Continuous",10.488155,328,14.0306639778339,12.4458315546266,14.5,0.821272652883746,0.887008400023178,1.1273384117607,3.88333333333333,0.0833333333333333,1,0.833333333333333
"234",3.9,"Continuous",9.87049000000025,358,15.3471826581264,14.7356750377149,14.5,0.821247178513397,0.885800631659732,1.04149844637903,3.9,0.0833333333333333,1,0.833333333333333
"235",3.91666666666667,"Continuous",11.29018,310,13.28221167078,13.5568015695165,14.5,0.821221703871016,0.884587801345831,0.979745229925478,3.91666666666667,0.0833333333333333,1,0.833333333333333
"236",3.93333333333333,"Continuous",12.3444949999998,334,14.2978562720628,16.526664162963,14.5,0.821196228954968,0.883369962615049,0.865138671124267,3.93333333333333,0.0833333333333333,1,0.833333333333333
"237",3.95,"Continuous",13.82357,322,13.7742281532292,15.8510378502327,14.5,0.821170753763613,0.882147169354189,0.868979576187626,3.95,0.0833333333333333,1,0.833333333333333
"238",3.96666666666667,"Continuous",10.0073350000002,364,15.5132026980539,12.6441237913303,14.5,0.821145278295315,0.880919475791887,1.22691006146988,3.96666666666667,0.0833333333333333,1,0.833333333333333
